ID;Segmento;MontoPagar;Alquiler;TamañoHogar;TipoViv;IngresoBruto;IngresoNeto;CantVeh;CantMotos
1;1;210000;1;2;en fila o contigua;1 056 250,00;969 226,70;#N/D;#N/D
2;7;200000;0;3;en fila o contigua;244 750,00;244 750,00;#N/D;#N/D
3;9;85000;1;4;en fila o contigua;488 236,67;446 942,32;#N/D;#N/D
4;10;600000;0;4;casa independiente;4 988 750,00;4 419 701,00;2;#N/D
5;10;570000;1;4;casa independiente;4 988 750,00;4 419 701,00;2;#N/D
6;13;80000;0;3;casa independiente;911 300,00;911 300,00;#N/D;#N/D
7;19;180000;0;3;en fila o contigua;1 055 540,20;970 866,87;2;#N/D
8;21;250000;0;1;en fila o contigua;603 519,00;603 519,00;#N/D;#N/D
9;22;52291;1;5;en fila o contigua;1 591 524,70;1 478 842,10;1;#N/D
10;23;300000;0;6;en fila o contigua;1 991 608,20;1 868 591,00;1;#N/D
11;25;200000;1;5;en fila o contigua;1 742 000,00;1 742 000,00;1;#N/D
12;28;150000;0;3;en fila o contigua;381 666,67;381 666,67;#N/D;#N/D
13;29;150000;0;4;en fila o contigua;1 036 750,00;983 105,50;#N/D;#N/D
14;30;150000;0;3;en fila o contigua;260 000,00;260 000,00;#N/D;#N/D
15;32;150000;0;4;en fila o contigua;1 941 890,40;1 756 166,60;1;#N/D
16;33;140000;0;3;en fila o contigua;1 133 166,70;1 073 561,70;#N/D;1
17;35;350000;0;6;en fila o contigua;3 514 539,80;3 159 979,70;1;#N/D
18;38;825930;0;1;casa independiente;789 583,33;789 583,33;1;#N/D
19;39;99999999;0;2;en fila o contigua;364 758,33;333 882,94;#N/D;#N/D
20;40;200000;0;2;casa independiente;1 119 473,70;1 043 476,50;1;#N/D
21;42;99999999;0;1;casa independiente;181 250,00;181 250,00;#N/D;#N/D
22;43;140000;0;4;casa independiente;1 235 799,00;1 170 233,50;1;#N/D
23;44;100000;0;3;en fila o contigua;913 250,00;838 147,70;#N/D;#N/D
24;46;165186;1;1;en fila o contigua;230 186,00;230 186,00;1;#N/D
25;47;150000;0;4;en fila o contigua;1 203 541,70;1 117 114,40;1;#N/D
26;50;125000;1;1;en edificio;698 227,00;639 166,67;#N/D;#N/D
27;53;80000;0;2;casa independiente;65 000,00;65 000,00;#N/D;#N/D
28;54;220000;1;1;en fila o contigua;1 648 833,30;1 458 571,80;1;#N/D
29;57;100000;0;6;en fila o contigua;1 081 333,30;1 008 615,20;1;#N/D
30;58;120000;0;6;casa en condominio;764 464,74;711 966,67;1;1
31;59;200000;0;9;en fila o contigua;1 824 094,40;1 748 360,40;1;#N/D
32;60;250000;0;4;casa independiente;1 197 083,30;1 083 014,80;1;#N/D
33;62;112000;1;2;en fila o contigua;487 500,00;451 737,00;#N/D;#N/D
34;64;250000;0;3;casa independiente;851 879,46;851 879,46;#N/D;#N/D
35;65;80000;0;1;en fila o contigua;2 041 561,10;1 834 754,80;1;#N/D
36;70;250000;0;5;en fila o contigua;4 415 955,30;3 985 752,00;1;#N/D
37;71;60000;1;4;casa independiente;438 265,88;409 045,91;#N/D;#N/D
38;74;30000;0;1;en fila o contigua;190 000,00;190 000,00;#N/D;#N/D
39;75;300000;1;3;en edificio;1 431 612,00;1 300 333,20;1;#N/D
40;76;320000;0;3;casa independiente;10 042 067,00;8 436 124,70;3;#N/D
41;80;52500;1;4;en edificio;513 500,00;513 500,00;#N/D;#N/D
42;83;200000;0;3;en fila o contigua;1 537 250,00;1 400 158,50;#N/D;#N/D
43;83;290000;1;3;en fila o contigua;1 537 250,00;1 400 158,50;#N/D;#N/D
44;86;180000;0;5;en fila o contigua;1 889 504,00;1 783 277,00;1;#N/D
45;88;200000;0;3;en fila o contigua;1 304 019,30;1 304 019,30;1;#N/D
46;89;200000;0;3;casa independiente;330 850,00;330 850,00;#N/D;#N/D
47;90;75000;1;4;en fila o contigua;657 800,00;657 800,00;#N/D;#N/D
48;91;130000;0;4;en fila o contigua;963 128,39;885 300,00;1;#N/D
49;92;200000;0;5;casa independiente;1 234 414,70;1 134 232,70;1;#N/D
50;94;120000;0;7;en fila o contigua;453 853,91;430 604,76;#N/D;#N/D
51;95;120000;0;3;casa independiente;399 333,33;375 491,33;#N/D;#N/D
52;96;100000;0;1;en edificio;640 230,77;640 230,77;#N/D;#N/D
53;97;110000;0;7;casa independiente;1 193 079,80;1 118 350,10;#N/D;#N/D
54;100;150000;0;6;casa independiente;2 444 541,70;2 203 201,20;2;#N/D
55;100;300000;1;6;casa independiente;2 444 541,70;2 203 201,20;2;#N/D
56;102;250000;0;1;casa independiente;2 075 666,70;1 838 273,70;#N/D;#N/D
57;102;150000;1;1;casa independiente;2 075 666,70;1 838 273,70;#N/D;#N/D
58;103;350000;1;4;en fila o contigua;1 375 004,60;1 273 945,80;1;#N/D
59;106;175000;1;2;en fila o contigua;216 666,67;216 666,67;1;#N/D
60;108;250000;0;3;casa independiente;878 583,33;878 583,33;#N/D;#N/D
61;108;49000;1;3;casa independiente;878 583,33;878 583,33;#N/D;#N/D
62;109;300000;0;3;en fila o contigua;3 506 750,00;2 990 997,10;2;#N/D
63;109;600000;1;3;en fila o contigua;3 506 750,00;2 990 997,10;2;#N/D
64;110;200000;0;9;en fila o contigua;1 299 566,10;1 172 650,20;#N/D;#N/D
65;111;250000;0;2;en fila o contigua;2 737 286,20;2 532 833,30;2;#N/D
66;111;140000;1;2;en fila o contigua;2 737 286,20;2 532 833,30;2;#N/D
67;112;450000;1;4;en fila o contigua;2 294 395,10;2 181 145,60;1;#N/D
68;115;500000;0;3;casa independiente;526 500,00;483 584,40;#N/D;#N/D
69;116;200000;0;3;casa independiente;2 114 913,10;1 922 200,20;#N/D;#N/D
70;117;100000;1;4;en fila o contigua;923 000,00;923 000,00;#N/D;#N/D
71;118;275310;0;2;en fila o contigua;1 323 796,20;1 261 438,70;1;#N/D
72;119;660744;0;5;casa independiente;6 342 977,70;5 977 203,20;3;#N/D
73;121;150000;0;1;en fila o contigua;2 372 500,00;2 072 265,00;#N/D;#N/D
74;123;170000;0;2;casa en condominio;387 500,00;387 500,00;#N/D;#N/D
75;125;250000;0;3;casa independiente;1 170 000,00;1 170 000,00;1;#N/D
76;126;60000;0;3;casa independiente;151 250,00;151 250,00;#N/D;#N/D
77;127;200000;0;3;en fila o contigua;2 426 666,70;2 426 666,70;#N/D;#N/D
78;128;250000;0;5;en fila o contigua;6 370 000,00;6 298 474,00;1;#N/D
79;130;250000;0;3;casa independiente;3 780 400,00;3 281 336,50;1;#N/D
80;132;75000;0;3;casa independiente;836 333,33;776 728,33;1;#N/D
81;135;75000;0;5;en fila o contigua;1 641 666,70;1 641 666,70;1;1
82;136;90000;0;7;casa independiente;1 177 750,00;1 106 224,00;#N/D;#N/D
83;137;150000;0;4;en fila o contigua;387 864,58;359 450,00;#N/D;#N/D
84;138;160000;0;7;en fila o contigua;837 399,33;837 399,33;2;1
85;140;100000;1;4;casa independiente;585 039,84;535 166,67;1;#N/D
86;141;550620;0;3;casa en condominio;5 967 730,20;5 510 390,20;3;#N/D
87;143;440496;0;6;casa en condominio;2 209 929,90;2 074 943,10;1;#N/D
88;143;200000;1;6;casa en condominio;2 209 929,90;2 074 943,10;1;#N/D
89;144;160000;1;2;en edificio;1 541 769,70;1 442 825,40;#N/D;#N/D
90;145;150000;0;3;en fila o contigua;1 755 953,30;1 620 966,50;#N/D;#N/D
91;146;200000;0;3;casa independiente;2 685 576,30;2 542 524,30;1;#N/D
92;147;130000;0;6;en fila o contigua;260 000,00;260 000,00;1;1
93;148;100000;0;6;en fila o contigua;1 560 000,00;1 488 474,00;#N/D;#N/D
94;149;120000;0;6;casa en condominio;1 666 166,70;1 530 267,30;1;#N/D
95;153;120000;0;3;en fila o contigua;1 259 247,10;1 163 879,10;1;#N/D
96;154;150000;0;5;en fila o contigua;1 692 792,90;1 573 264,30;#N/D;#N/D
97;155;250000;0;1;casa independiente;0,00;0,00;#N/D;#N/D
98;156;50000;0;2;en fila o contigua;670 784,33;649 922,58;#N/D;#N/D
99;156;50000;1;2;en fila o contigua;670 784,33;649 922,58;#N/D;#N/D
100;157;150000;0;2;en fila o contigua;611 000,00;611 000,00;#N/D;#N/D
101;158;200000;0;2;en fila o contigua;1 505 833,30;1 422 386,30;1;#N/D
102;159;90000;0;2;en fila o contigua;1 365 000,00;1 238 471,00;1;#N/D
103;159;21000;1;2;en fila o contigua;1 365 000,00;1 238 471,00;1;#N/D
104;161;120000;0;3;en fila o contigua;496 166,67;461 595,77;#N/D;#N/D
105;162;200000;0;4;en fila o contigua;682 500,00;628 855,50;1;#N/D
106;162;200000;1;4;en fila o contigua;682 500,00;628 855,50;1;#N/D
107;164;150000;0;3;casa independiente;1 300 000,00;1 300 000,00;1;#N/D
108;165;400000;0;4;casa independiente;12 153 917,00;12 153 917,00;3;#N/D
109;166;140000;0;4;en fila o contigua;312 000,00;312 000,00;#N/D;#N/D
110;167;100000;0;5;casa independiente;1 698 450,00;1 596 842,00;1;#N/D
111;171;80000;0;3;casa independiente;742 083,33;676 517,83;#N/D;#N/D
112;172;90000;0;4;casa independiente;127 400,00;127 400,00;1;#N/D
113;172;156000;1;4;casa independiente;127 400,00;127 400,00;1;#N/D
114;173;100000;0;2;casa independiente;162 500,00;162 500,00;#N/D;#N/D
115;175;180000;0;1;casa independiente;322 833,33;322 833,33;#N/D;#N/D
116;176;100000;1;2;casa independiente;418 000,00;387 005,40;#N/D;#N/D
117;177;30000;0;5;casa independiente;525 468,17;491 254,90;#N/D;#N/D
118;178;90000;0;5;casa independiente;1 261 082,20;1 196 204,50;1;#N/D
119;180;150000;0;2;en fila o contigua;373 392,85;373 392,85;1;#N/D
120;181;200000;0;3;casa independiente;1 378 732,80;1 251 816,80;1;#N/D
121;182;100000;0;3;casa independiente;639 767,38;639 767,38;1;#N/D
122;185;250000;0;4;casa independiente;5 958 333,30;5 043 653,30;3;#N/D
123;186;450000;0;3;en fila o contigua;3 053 365,70;2 974 058,40;2;1
124;187;50000;0;5;casa independiente;693 233,33;662 238,73;#N/D;1
125;190;150000;0;2;en fila o contigua;828 012,56;784 302,64;#N/D;#N/D
126;194;45000;0;2;casa independiente;386 706,87;355 437,00;#N/D;#N/D
127;195;150000;0;2;casa independiente;527 500,00;527 500,00;#N/D;#N/D
128;197;70000;1;5;en fila o contigua;450 733,33;422 122,93;#N/D;#N/D
129;199;200000;0;1;en fila o contigua;338 216,67;338 216,67;#N/D;#N/D
130;202;300000;0;3;en fila o contigua;1 103 333,30;1 043 728,30;2;#N/D
131;203;150000;0;5;en fila o contigua;1 066 195,50;982 108,10;#N/D;#N/D
132;204;100000;0;3;casa independiente;742 216,60;682 790,42;#N/D;#N/D
133;205;250000;0;3;en fila o contigua;2 191 129,30;2 114 834,90;1;#N/D
134;207;200000;0;3;casa independiente;920 833,33;920 833,33;2;#N/D
135;208;250000;0;5;casa independiente;4 068 455,00;3 941 815,50;2;#N/D
136;208;400000;1;5;casa independiente;4 068 455,00;3 941 815,50;2;#N/D
137;209;65000;1;3;casa independiente;669 500,00;640 889,60;#N/D;#N/D
138;211;200000;0;4;casa independiente;1 896 254,80;1 809 451,90;#N/D;1
139;212;99999999;0;2;casa independiente;1 710 189,60;1 630 882,40;2;#N/D
140;214;70000;0;3;en fila o contigua;478 500,00;457 042,20;#N/D;#N/D
141;215;70000;0;4;en fila o contigua;1 522 378,80;1 368 640,70;1;#N/D
142;216;80000;0;4;casa independiente;401 484,32;371 691,67;#N/D;#N/D
143;219;150000;0;5;en fila o contigua;650 000,00;650 000,00;1;1
144;222;250000;0;3;en fila o contigua;1 994 416,70;1 908 585,50;1;#N/D
145;226;210000;1;2;en fila o contigua;2 825 310,90;2 734 316,00;#N/D;1
146;228;3000000;0;3;casa independiente;3 728 708,60;3 728 708,60;#N/D;#N/D
147;229;150000;0;6;casa independiente;870 541,49;814 180,33;#N/D;1
148;230;150000;0;3;en fila o contigua;725 183,33;690 970,06;#N/D;#N/D
149;231;200000;0;5;en fila o contigua;2 738 106,20;2 477 050,00;#N/D;#N/D
150;233;400000;0;5;casa independiente;4 983 333,30;4 983 333,30;2;#N/D
151;234;99999999;0;3;casa independiente;2 759 482,10;2 417 523,60;#N/D;#N/D
152;236;250000;0;4;en fila o contigua;1 515 083,30;1 468 591,40;2;#N/D
153;237;250000;0;3;casa independiente;1 243 666,70;1 148 298,70;1;#N/D
154;238;220000;0;1;casa independiente;916 666,67;916 666,67;#N/D;#N/D
155;238;220000;1;1;casa independiente;916 666,67;916 666,67;#N/D;#N/D
156;240;200000;0;3;casa independiente;1 956 149,10;1 829 233,10;2;#N/D
157;242;100000;0;9;en fila o contigua;1 830 564,80;1 731 977,20;2;1
158;244;300000;0;3;en fila o contigua;1 321 250,00;1 279 526,50;1;#N/D
159;244;460000;1;3;en fila o contigua;1 321 250,00;1 279 526,50;1;#N/D
160;245;300000;0;3;en fila o contigua;1 213 333,30;1 111 725,30;1;#N/D
161;248;150000;1;4;en fila o contigua;1 229 583,30;1 125 274,60;#N/D;#N/D
162;249;160000;0;3;en fila o contigua;474 500,00;474 500,00;#N/D;#N/D
163;252;99999999;0;2;casa independiente;720 416,67;678 693,17;1;#N/D
164;256;200000;0;2;casa en condominio;2 264 173,20;1 963 938,20;2;1
165;264;50000;0;4;en fila o contigua;1 582 656,40;1 406 285,00;2;#N/D
166;265;80000;0;2;en fila o contigua;758 333,33;758 333,33;1;#N/D
167;272;400000;0;5;en fila o contigua;1 857 500,00;1 857 500,00;1;#N/D
168;274;400000;0;4;casa independiente;2 112 500,00;1 914 445,00;2;#N/D
169;286;60000;1;2;en fila o contigua;557 916,67;531 094,42;#N/D;#N/D
170;295;80000;1;6;en fila o contigua;699 031,57;651 607,82;#N/D;1
171;299;350000;0;4;casa independiente;798 958,33;766 175,58;1;#N/D
172;354;100000;1;3;en fila o contigua;182 000,00;165 310,60;#N/D;#N/D
173;363;80000;0;4;casa independiente;372 000,00;372 000,00;1;1
174;364;100000;1;3;en fila o contigua;1 136 416,70;1 049 393,40;#N/D;1
