CCANT;CANTON;YR;POPtot
101;San José;1993;287519
102;Escazú;1993;44546
103;Desamparados;1993;153447
106;Aserrí;1993;43653
107;Mora;1993;17496
108;Goicoechea;1993;104838
109;Santa Ana;1993;27688
110;Alajuelita;1993;48134
111;Vásquez de Coronado;1993;39866
113;Tibás;1993;79023
114;Moravia;1993;45783
115;Montes de Oca;1993;46934
118;Curridabat;1993;51688
201;Alajuela;1993;179994
205;Atenas;1993;19332
208;Poás;1993;19963
301;Cartago;1993;114721
302;Paraíso;1993;40322
303;La Unión;1993;64384
306;Alvarado;1993;10670
307;Oreamuno;1993;33389
308;El Guarco;1993;29374
401;Heredia;1993;85782
402;Barva;1993;26940
403;Santo Domingo;1993;31617
404;Santa Bárbara;1993;24393
405;San Rafael;1993;32032
406;San Isidro;1993;12560
407;Belén;1993;16639
408;Flores;1993;12781
409;San Pablo;1993;17809
101;San José;1994;292139
102;Escazú;1994;45899
103;Desamparados;1994;159056
106;Aserrí;1994;44842
107;Mora;1994;18158
108;Goicoechea;1994;107431
109;Santa Ana;1994;28728
110;Alajuelita;1994;50771
111;Vásquez de Coronado;1994;42051
113;Tibás;1994;79508
114;Moravia;1994;46921
115;Montes de Oca;1994;47709
118;Curridabat;1994;53610
201;Alajuela;1994;186588
205;Atenas;1994;19877
208;Poás;1994;20728
301;Cartago;1994;117796
302;Paraíso;1994;42102
303;La Unión;1994;66985
306;Alvarado;1994;10968
307;Oreamuno;1994;34448
308;El Guarco;1994;30271
401;Heredia;1994;89157
402;Barva;1994;27883
403;Santo Domingo;1994;32353
404;Santa Bárbara;1994;25250
405;San Rafael;1994;33024
406;San Isidro;1994;13103
407;Belén;1994;17174
408;Flores;1994;13204
409;San Pablo;1994;18419
101;San José;1995;296834
102;Escazú;1995;47273
103;Desamparados;1995;165102
106;Aserrí;1995;46009
107;Mora;1995;18837
108;Goicoechea;1995;109976
109;Santa Ana;1995;29813
110;Alajuelita;1995;53738
111;Vásquez de Coronado;1995;44351
113;Tibás;1995;79633
114;Moravia;1995;47988
115;Montes de Oca;1995;48489
118;Curridabat;1995;55445
201;Alajuela;1995;193450
205;Atenas;1995;20440
208;Poás;1995;21509
301;Cartago;1995;120929
302;Paraíso;1995;43961
303;La Unión;1995;69643
306;Alvarado;1995;11267
307;Oreamuno;1995;35489
308;El Guarco;1995;31136
401;Heredia;1995;92463
402;Barva;1995;28843
403;Santo Domingo;1995;33057
404;Santa Bárbara;1995;26114
405;San Rafael;1995;34008
406;San Isidro;1995;13656
407;Belén;1995;17723
408;Flores;1995;13621
409;San Pablo;1995;19008
101;San José;1996;301390
102;Escazú;1996;48649
103;Desamparados;1996;171432
106;Aserrí;1996;47099
107;Mora;1996;19521
108;Goicoechea;1996;112404
109;Santa Ana;1996;30928
110;Alajuelita;1996;56996
111;Vásquez de Coronado;1996;46790
113;Tibás;1996;79192
114;Moravia;1996;48942
115;Montes de Oca;1996;49230
118;Curridabat;1996;57103
201;Alajuela;1996;200539
205;Atenas;1996;20996
208;Poás;1996;22312
301;Cartago;1996;124042
302;Paraíso;1996;45905
303;La Unión;1996;72284
