Cantón;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San José Cantón Central;113364,3073;112008,9108;113145,1613;118337,3398;125441,4257;125738,5225;126467,4046;132253,2695;139028,4634;141441,0978;149264,6439;159905,501;160756,3864;164117,2291;167382,5185;170552,3423;173117,8154;175599,1502;177996,4028;180310,3067;182225,5478;183613,307;184934,8068;186197,2849;187386,4556;188501,4488;158646;166603;176652;178694;180604
Escazú;17053,70307;17091,82767;17513,63098;18581,36678;19981,33576;20318,53006;20732,72252;21996,42166;23460,21715;24215,98379;25929,72273;28186,14726;28753,42898;29788,12338;30830,87548;31881,61047;32843,68948;33812,85267;34789,0281;35772,27586;36699,01163;37539,92071;38386,44133;39240,03135;40097,63406;40958,91905;30846;32446;34476;34935;35375
Desamparados;56523,48048;56825,81072;58406,25829;62153,63143;67034,6137;68364,89609;69959,1409;74433,56848;79608,48008;82399,04079;88469,43877;96424,96364;98624,57757;102438,7187;106295,8766;110195,7392;113803,3986;117448,8917;121131,9216;124852,6509;128388,5902;131635,3533;134912,0429;138223,7592;141559,711;144918,6581;105536;111200;118306;120032;121663
Aserrí;14231,99132;14201,81753;14489,57114;15307,2144;16390,69067;16597,17249;16864,82754;17818,69213;18926,41324;19456,51307;20749,19666;22464,326;22825,22933;23553,19759;24282,14465;25012,03063;25667,35129;26323,5275;26980,51982;27638,39126;28248,21499;28788,07172;29328,62113;29870,98531;30412,84582;30953,97802;27194;28645;30473;30902;31313
Mora;5961,51347;5991,480207;6156,179338;6549,139513;7061,307114;7199,291177;7365,019732;7833,81603;8376,085441;8667,28871;9303,273073;10137,13818;10365,64597;10763,72479;11166,16262;11572,92724;11948,85539;12328,61723;12712,18209;13099,56751;13467,43576;13804,85607;14145,30911;14489,3299;14835,78748;15184,55264;13441;14122;14993;15171;15346
Goicoechea;38944,98207;38777,40115;39476,69945;41613,43769;44461,93878;44924,21975;45549,66718;48021,70376;50896,75066;52209,35213;55558,13849;60021,16787;60854,45618;62660,64071;64461,62421;66257,32842;67848,19594;69434,4703;71016,07178;72593,19047;74037,61415;75292,85219;76544,51337;77795,53862;79039,90246;80277,06027;61493;64672;68695;69574;70419
Santa Ana;10341,16939;10437,1753;10768,5059;11502,30058;12450,99543;12743,55665;13086,43573;13971,18037;14992,70142;15569,29462;16770,15684;18335,89651;18812,1846;19598,96071;20397,37861;21207,36643;21964,27436;22731,4234;23508,74574;24296,26267;25050,55339;25750,84941;26459,24006;27176,72051;27901,16387;28632,30967;25361;26761;28528;28992;29440
Alajuelita;17565,40586;17883,60982;18607,20876;20037,36846;21861,15555;22545,58321;23323,19988;25078,12393;27098,23708;28329,42527;30713,28718;33793,11884;34883,70518;36559,26404;38268,97595;40012,66238;41667,63525;43352,65729;45067,5618;46812,35268;48502,92364;50097,62867;51716,06901;53360,17159;55025,7419;56712,20963;38545;40837;43685;44545;45370
Vásquez de Coronado;14334,54346;14629,39894;15256,37071;16465,14533;18001,63204;18602,68831;19281,54366;20770,85068;22484,02209;23545,85474;25569,27685;28177,93551;29131,78005;30576,05921;32051,47024;33557,85463;34992,1711;36453,87926;37942,8314;39459,02341;40931,47127;42324,74478;43739,65245;45177,82042;46635,69376;48112,77807;30899;32552;34629;35125;35587
Tibás;26485,83538;26174,27633;26445,03933;27664,16326;29330,91694;29406,50321;29583,22372;30943,30465;32535,60935;33107,57628;34946,75937;37446,67317;37654,74192;38451,11997;39225,64693;39978,34147;40589,88639;41182,19039;41755,26485;42309,28014;42770,22696;43107,79904;43430,21946;43739,187;44031,34487;44306,48557;37950;39879;42339;42859;43373
