CCANT;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
101;156875;200278;118954;74095;87136;182418;131939;109966;117470;88772;99237;140442;121756;81399;122077;138068;108603;171118;102029;143463;66825;115677;173266;81918;82903;92074;56418;144503;130961
102;62541;97028;63571;80108;99559;67435;94049;108706;148783;114025;112176;107942;213620;156674;225171;172693;204063;51926;150122;164752;162818;137736;257145;150277;136888;134662;94802;60709;118843
103;34788;28397;28914;35010;50970;28150;29946;37714;69520;47252;61010;66370;47242;59682;90378;79700;19086;29957;30126;37736;17117;20838;20671;41402;17491;29586;20875;26507;17660
106;16242;15188;15815;9598;24071;14430;15839;16760;13431;12906;15096;16984;15182;9696;14951;13694;7428;14502;10667;16324;14026;13876;13486;10074;9955;7872;16584;12487;9564
107;3770;9017;9650;5440;8225;10769;10118;11959;19598;16997;21452;22765;30577;33748;26884;26951;8745;15427;21435;14102;22158;25596;50762;19822;49537;18008;18422;9500;15982
108;33375;43622;30084;46997;32022;32412;35790;49815;44598;36105;37187;31461;51388;24682;27188;63716;14267;21960;30326;54024;113525;63620;56184;41425;22948;57817;55463;30730;19837
109;16035;82273;16418;17099;35201;55966;58421;85964;81003;70082;75087;71661;73287;148625;143800;89666;39122;80474;144059;176367;239146;200290;201406;174191;250148;119678;130627;77229;72197
110;4656;9507;3346;3159;8267;5373;2576;8061;10011;15329;13921;24608;29707;27349;18955;17104;9441;8474;11048;9612;7937;24356;54850;138088;26646;28846;29169;15514;102166
111;44303;34082;24737;19064;30745;26008;35537;26725;27032;30773;24477;24670;20501;28980;10041;14539;8882;14064;17418;13253;13444;12824;13256;9510;11594;6092;12992;11630;14951
113;24548;21319;7014;4445;2601;7719;26342;19433;15904;18043;22471;15240;28413;11853;22194;18288;12643;62822;13332;81602;13957;18839;48524;22398;80432;22138;8818;38392;4127
114;32865;29049;24984;30704;49755;31032;27412;30474;40836;50692;63560;37263;30228;36112;44350;30809;25322;25703;111638;13477;16617;13930;23356;20950;13400;12754;20262;64736;9048
115;37774;38821;16819;32426;19425;33089;66568;27504;51078;39836;39746;30793;24738;25907;27132;42086;30393;59209;43926;32996;36651;32964;74060;45029;62933;24430;15630;72190;8587
118;41349;49634;45836;47749;51435;49381;70215;71279;70656;86565;91570;70000;72383;84786;64518;57982;69476;50571;75259;40983;53010;48127;64662;97579;33599;38854;31512;58301;119403
201;80838;127392;166195;100621;77947;89359;67576;139004;142685;111749;115232;145461;154812;166869;215105;253484;234436;118817;167576;166042;148629;541414;364617;320683;130430;246794;396723;232282;356105
205;13265;9359;9167;4714;10059;7001;10043;12455;17213;18944;12162;17857;21514;23966;32840;30631;17058;16784;23152;18761;18129;20396;27969;31291;9728;13526;12679;19136;36281
