Cantón;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
San José Cantón Central;227951;226589;232901;242262;253318;263551;268406;273707;280294;294571;308044;315071;291497;301338;302618;312666;321522;339915;368066;398621;400253;410790;422794;434307;462466;464723;465577;478901;475875,2381;480668;473169;454668;469499,9871
Escazú;5769;5910;6105;6725;8410;9047;8735;9322;10181;10945;12210;12991;10250;11244;12338;12367;14535;16808;21212;24344;23589;25101;28315;31471;32985;35718;38253;39708;42708,69151;46925;47890;47369;54041,24718
Desamparados;12837;15186;15592;16393;19927;22969;25977;27484;29594;3127;33276;33490;17242;18463;18092;19284;20021;22246;23989;26557;27713;29810;32216;33427;34300;35997;36557;37167;37751,58546;38342;37881;37845;38612,34456
Aserrí;2319;2149;2354;2530;2459;2422;2557;2387;2537;2802;2927;2855;2575;2861;3080;3284;3836;4278;4961;5444;5714;5840;6164;6864;6951;7019;7344;7233;7317,77602;7437;7570;7604;7841,122991
Mora;1122;1347;1385;1459;1808;1889;1877;1764;1663;1818;1963;2062;3602;3543;3503;3544;3634;3720;3973;4342;4404;4633;5076;5337;5327;5606;5759;5615;6329,791242;6359;6205;6015;6322,099547
Goicoechea;21143;23673;24266;24998;27221;31192;31816;27748;27905;29462;28283;28429;26576;26557;28256;28835;29569;31031;34137;40242;39667;42152;46661;48388;49452;48665;48338;51214;51535,57601;52276;51898;50271;51170,3239
Santa Ana;2445;2884;3132;3546;4667;4864;4942;5017;5691;6769;8453;9009;8261;11837;13929;14062;15268;20693;26148;28622;28655;27797;27982;30490;31916;32882;34985;36910;45928,21336;50360;50342;48653;51507,22338
Alajuelita;2107;2224;2391;2491;3422;3225;3797;4129;5002;5377;5844;5893;3588;3816;3980;4240;4467;5013;6133;7139;7100;7931;8630;8928;9290;9430;9230;9596;9837,872661;9948;9956;10078;10491,09849
Vásquez de Coronado;3874;4618;4838;5068;5413;5888;6103;6210;6695;7405;7809;8011;5559;5545;5968;6375;7071;7326;7815;8958;9273;9992;10717;11228;11938;12162;12374;12721;12707,40204;12778;12497;12000;12208,13311
Tibás;10470;11740;12106;13211;15322;14924;15138;14340;16284;16792;18176;18286;15831;16337;16868;17470;17841;19541;21781;23316;22583;22613;24227;25413;26733;26997;26652;27162;27700,0811;28997;32153;29184;30984,15091
