"TOA5","250101","CR800","24913","CR800.Std.32.02","CPU:METEOROLOGICA CR800.CR8","51517","M1440"
"TIMESTAMP","RECORD","TempAire_Max","TempAire_TMx","TempAire_Min","TempAire_TMn","HumRel_Max","HumRel_TMx","HumRel_Min","HumRel_TMn","BattV_Max","BattV_TMx","BattV_Min","BattV_TMn","HR_NEMA_Max","Temp_NEMA_Max"
"TS","RN","Deg C","","Deg C","","%","","%","","Volts","","Volts","","%","Deg C"
"","","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","Max"
"2018-02-09 00:00:00",0,29.44,"2018-02-08 14:35:00",21.08,"2018-02-08 23:41:00",100,"2018-02-08 18:02:00",55.35,"2018-02-08 20:09:00",13.08,"2018-02-08 17:30:00",12.81,"2018-02-08 23:38:00",55.97,37.32
"2018-02-10 00:00:00",1,30.36,"2018-02-09 12:42:00",20.88,"2018-02-09 00:25:00",100,"2018-02-09 00:01:00",47.64,"2018-02-09 01:57:00",13.24,"2018-02-09 06:44:00",12.76,"2018-02-09 05:36:00",54.95,40.39
"2018-02-11 00:00:00",2,30.17,"2018-02-10 11:30:00",20.7,"2018-02-10 05:57:00",100,"2018-02-10 00:01:00",60.94,"2018-02-10 07:44:00",13.25,"2018-02-10 06:44:00",12.78,"2018-02-10 05:18:00",56.52,38.79
"2018-02-12 00:00:00",3,30.49,"2018-02-11 10:45:00",21.11,"2018-02-11 04:20:00",100,"2018-02-11 00:01:00",54.9,"2018-02-11 07:41:00",13.25,"2018-02-11 06:44:00",12.8,"2018-02-11 05:07:00",56.38,40.16
"2018-02-13 00:00:00",4,30.06,"2018-02-12 11:01:00",21.79,"2018-02-12 04:23:00",100,"2018-02-12 17:39:00",57.69,"2018-02-12 23:46:00",13.24,"2018-02-12 07:04:00",12.8,"2018-02-12 04:57:00",60.08,39.12
"2018-02-14 00:00:00",5,29.88,"2018-02-13 10:58:00",21.23,"2018-02-13 02:25:00",100,"2018-02-13 01:10:00",34.47,"2018-02-13 14:11:00",13.2,"2018-02-13 06:39:00",12.8,"2018-02-13 03:33:00",54.4,35.08
"2018-02-15 00:00:00",6,30.7,"2018-02-14 11:34:00",20.8,"2018-02-14 23:00:00",100,"2018-02-14 23:01:00",31.87,"2018-02-14 06:32:00",13.2,"2018-02-14 07:08:00",12.81,"2018-02-14 05:49:00",57.99,40.31
"2018-02-16 00:00:00",7,31.2,"2018-02-15 13:26:00",21.87,"2018-02-15 21:38:00",97.8,"2018-02-15 22:41:00",47.17,"2018-02-15 05:45:00",13.22,"2018-02-15 06:49:00",12.8,"2018-02-15 04:01:00",57.72,40.68
"2018-02-17 00:00:00",8,30.27,"2018-02-16 12:10:00",21.34,"2018-02-16 02:57:00",98.9,"2018-02-16 00:34:00",58.76,"2018-02-16 06:56:00",13.23,"2018-02-16 06:42:00",12.79,"2018-02-16 04:54:00",55.56,40.84
"2018-02-18 00:00:00",9,30.07,"2018-02-17 12:17:00",21.21,"2018-02-17 05:40:00",100,"2018-02-17 19:17:00",63.08,"2018-02-17 08:08:00",13.25,"2018-02-17 06:42:00",12.79,"2018-02-17 05:10:00",56.98,39.84
"2018-02-19 00:00:00",10,31.02,"2018-02-18 12:38:00",21.77,"2018-02-18 02:53:00",97.1,"2018-02-18 15:50:00",46.56,"2018-02-18 08:22:00",13.23,"2018-02-18 06:52:00",12.8,"2018-02-18 03:49:00",57.97,40.53
"2018-02-20 00:00:00",11,31.56,"2018-02-19 12:06:00",20.96,"2018-02-19 22:47:00",100,"2018-02-19 19:47:00",41.08,"2018-02-19 05:48:00",13.22,"2018-02-19 06:34:00",12.8,"2018-02-19 05:41:00",53.92,41.48
"2018-02-21 00:00:00",12,30.26,"2018-02-20 10:37:00",21.33,"2018-02-21 00:00:00",100,"2018-02-20 19:37:00",38.89,"2018-02-20 08:49:00",13.22,"2018-02-20 06:45:00",12.8,"2018-02-20 05:04:00",57.05,39.61
"2018-02-22 00:00:00",13,31,"2018-02-21 10:30:00",21.33,"2018-02-21 00:02:00",98.6,"2018-02-21 23:11:00",51.52,"2018-02-21 08:21:00",13.22,"2018-02-21 06:29:00",12.8,"2018-02-21 05:25:00",55.26,40.43
"2018-02-23 00:00:00",14,32.45,"2018-02-22 11:43:00",21.36,"2018-02-22 01:58:00",100,"2018-02-22 22:32:00",32.98,"2018-02-22 11:18:00",13.22,"2018-02-22 06:45:00",12.8,"2018-02-22 03:36:00",54.41,40.12
"2018-02-24 00:00:00",15,31.7,"2018-02-23 11:41:00",21,"2018-02-23 04:05:00",98,"2018-02-23 20:28:00",50.95,"2018-02-23 11:19:00",13.23,"2018-02-23 06:53:00",12.8,"2018-02-23 04:27:00",53.87,41.07
"2018-02-25 00:00:00",16,31.64,"2018-02-24 11:47:00",19.37,"2018-02-24 16:13:00",93.4,"2018-02-24 16:10:00",49.26,"2018-02-24 06:55:00",13.24,"2018-02-24 06:48:00",12.79,"2018-02-24 05:19:00",66.18,41.91
"2018-02-26 00:00:00",17,30.43,"2018-02-25 11:01:00",20.81,"2018-02-25 21:50:00",95.3,"2018-02-25 21:50:00",50.3,"2018-02-25 10:37:00",13.25,"2018-02-25 06:36:00",12.79,"2018-02-25 05:50:00",59.67,39.79
"2018-02-27 00:00:00",18,31.28,"2018-02-26 12:12:00",20.58,"2018-02-26 22:45:00",90.7,"2018-02-26 22:51:00",43.09,"2018-02-26 11:48:00",13.25,"2018-02-26 06:30:00",12.79,"2018-02-26 04:54:00",57.24,41.32
"2018-02-28 00:00:00",19,31.83,"2018-02-27 13:02:00",20.78,"2018-02-27 00:22:00",89.5,"2018-02-27 00:01:00",39.37,"2018-02-27 10:00:00",13.23,"2018-02-27 06:31:00",12.79,"2018-02-27 05:54:00",57.18,40.7
"2018-03-01 00:00:00",20,31.01,"2018-02-28 12:22:00",20.82,"2018-02-28 22:37:00",100,"2018-02-28 20:01:00",37.9,"2018-02-28 07:52:00",13.22,"2018-02-28 06:29:00",12.79,"2018-02-28 04:59:00",55.22,40.89
"2018-03-02 00:00:00",21,31.57,"2018-03-01 12:32:00",21.17,"2018-03-01 22:24:00",100,"2018-03-01 11:02:00",47,"2018-03-01 07:58:00",13.24,"2018-03-01 06:26:00",12.78,"2018-03-01 05:43:00",56.76,41.04
"2018-03-03 00:00:00",22,31.23,"2018-03-02 11:16:00",20.86,"2018-03-02 02:20:00",100,"2018-03-02 21:13:00",49.99,"2018-03-02 11:34:00",13.24,"2018-03-02 06:26:00",12.78,"2018-03-02 04:23:00",54.67,39.96
