"TOA5","250101","CR800","24913","CR800.Std.30.01","CPU:Rancho Largo.CR8","16822","M1440"
"TIMESTAMP","RECORD","TempAire_Max","TempAire_TMx","TempAire_Min","TempAire_TMn","HumRel_Max","HumRel_TMx","HumRel_Min","HumRel_TMn","BattV_Max","BattV_TMx","BattV_Min","BattV_TMn","HR_NEMA_Max","Temp_NEMA_Max"
"TS","RN","Deg C","Deg C","Deg C","Deg C","%","%","%","%","Volts","Volts","Volts","Volts","%","Deg C"
"","","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","Max"
"2017-01-14 00:00:00",0,29.23,"2017-01-13 12:20:20",21.61,"2017-01-13 19:43:30",100,"2017-01-13 17:48:25",59.29,"2017-01-13 23:59:50",13.06,"2017-01-13 16:49:50",12.56,"2017-01-13 23:44:55",73.44,37.89
"2017-01-15 00:00:00",1,29,"2017-01-14 11:36:45",21.56,"2017-01-14 06:02:20",93.2,"2017-01-14 20:25:40",40.33,"2017-01-14 23:36:00",13.22,"2017-01-14 06:38:40",12.53,"2017-01-14 05:12:30",77.42,39.18
"2017-01-16 00:00:00",2,29.36,"2017-01-15 12:23:15",20.88,"2017-01-15 22:54:25",99.5,"2017-01-15 21:42:05",48.65,"2017-01-15 00:02:30",13.24,"2017-01-15 06:38:00",12.53,"2017-01-15 05:49:00",72.7,39.57
"2017-01-17 00:00:00",3,29.08,"2017-01-16 09:48:25",20.81,"2017-01-16 04:57:25",100,"2017-01-16 20:07:15",65.43,"2017-01-16 09:50:05",13.26,"2017-01-16 06:42:20",12.53,"2017-01-16 05:00:15",74.4,37.87
"2017-01-18 00:00:00",4,29.45,"2017-01-17 12:17:10",20.16,"2017-01-17 06:36:15",100,"2017-01-17 19:02:55",62.7,"2017-01-17 12:01:05",13.25,"2017-01-17 06:40:20",12.54,"2017-01-17 05:35:20",74.79,41.28
"2017-01-19 00:00:00",5,28.66,"2017-01-18 13:02:45",20.16,"2017-01-18 02:48:20",100,"2017-01-18 00:00:05",67.01,"2017-01-18 10:18:35",13.25,"2017-01-18 06:36:50",12.54,"2017-01-18 05:20:00",73.1,37
"2017-01-20 00:00:00",6,30.03,"2017-01-19 13:14:25",20.08,"2017-01-19 04:52:25",97.4,"2017-01-19 21:11:15",63.5,"2017-01-19 13:06:50",13.26,"2017-01-19 06:38:35",12.55,"2017-01-19 04:41:00",77.74,43.42
"2017-01-21 00:00:00",7,30.39,"2017-01-20 13:46:45",20.46,"2017-01-20 00:43:20",98.8,"2017-01-20 01:00:45",60.08,"2017-01-20 09:45:40",13.26,"2017-01-20 06:39:55",12.55,"2017-01-20 04:39:40",76.83,43.32
"2017-01-22 00:00:00",8,30.6,"2017-01-21 13:14:25",20.21,"2017-01-21 03:26:30",99,"2017-01-21 19:56:55",59.66,"2017-01-21 13:17:15",13.27,"2017-01-21 06:39:15",12.54,"2017-01-21 05:53:00",77.97,43.63
"2017-01-23 00:00:00",9,29.1,"2017-01-22 13:48:40",20.42,"2017-01-22 22:11:20",98.2,"2017-01-22 01:26:00",49.57,"2017-01-22 15:47:55",13.25,"2017-01-22 06:37:50",12.55,"2017-01-22 05:37:25",80.9,43.82
"2017-01-24 00:00:00",10,29.98,"2017-01-23 11:57:45",20.24,"2017-01-23 06:27:30",97.3,"2017-01-23 22:00:35",57.44,"2017-01-23 11:58:00",13.26,"2017-01-23 06:39:20",12.54,"2017-01-23 05:37:00",74.73,40.39
"2017-01-25 00:00:00",11,29.03,"2017-01-24 12:55:40",20.28,"2017-01-24 04:48:35",97.9,"2017-01-24 22:33:00",63.73,"2017-01-24 11:43:10",13.26,"2017-01-24 06:39:55",12.55,"2017-01-24 05:06:40",72.97,41.08
"2017-01-26 00:00:00",12,29.83,"2017-01-25 13:11:40",20.28,"2017-01-25 05:28:45",98.3,"2017-01-25 23:02:25",61.27,"2017-01-25 13:11:45",13.25,"2017-01-25 06:46:45",12.55,"2017-01-25 05:23:20",72.76,40.73
"2017-01-27 00:00:00",13,29.6,"2017-01-26 10:48:35",20.5,"2017-01-26 03:29:00",100,"2017-01-26 19:31:45",65.46,"2017-01-26 10:50:05",13.25,"2017-01-26 06:39:45",12.55,"2017-01-26 05:19:00",71.35,40.04
"2017-01-28 00:00:00",14,29.06,"2017-01-27 10:28:45",20.53,"2017-01-27 04:55:25",100,"2017-01-27 00:00:05",64.27,"2017-01-27 10:34:30",13.25,"2017-01-27 06:42:00",12.55,"2017-01-27 05:37:30",71.19,39.08
"2017-01-29 00:00:00",15,30.31,"2017-01-28 11:44:30",20.62,"2017-01-28 02:10:50",100,"2017-01-28 00:00:05",51.95,"2017-01-28 19:51:05",13.25,"2017-01-28 06:49:05",12.55,"2017-01-28 05:47:45",72.09,40.33
"2017-01-30 00:00:00",16,30.94,"2017-01-29 14:34:50",20.6,"2017-01-29 00:20:05",94,"2017-01-29 01:31:05",49.42,"2017-01-29 19:29:50",13.23,"2017-01-29 06:49:20",12.55,"2017-01-29 05:52:25",73.84,42.25
"2017-01-31 00:00:00",17,30.43,"2017-01-30 14:16:20",21.28,"2017-01-30 23:26:40",99.1,"2017-01-30 19:42:25",40.53,"2017-01-30 08:53:55",13.19,"2017-01-30 06:50:40",12.57,"2017-01-30 05:24:25",74.18,41.07
"2017-02-01 00:00:00",18,30.64,"2017-01-31 13:05:50",20.5,"2017-01-31 03:12:50",100,"2017-01-31 00:42:10",58.25,"2017-01-31 11:38:25",13.25,"2017-01-31 06:39:05",12.55,"2017-01-31 04:57:40",71.33,41.48
"2017-02-02 00:00:00",19,30.8,"2017-02-01 13:35:05",21.09,"2017-02-01 00:03:30",100,"2017-02-01 21:26:55",55.69,"2017-02-01 19:01:00",13.23,"2017-02-01 06:50:40",12.55,"2017-02-01 05:28:10",75.46,42.99
"2017-02-03 00:00:00",20,31.02,"2017-02-02 12:05:20",21,"2017-02-02 00:44:50",100,"2017-02-02 00:00:05",48.41,"2017-02-02 04:09:25",13.22,"2017-02-02 06:50:00",12.55,"2017-02-02 04:39:05",75.6,42.98
"2017-02-04 00:00:00",21,30.41,"2017-02-03 11:47:15",20.22,"2017-02-03 04:06:10",98.8,"2017-02-03 19:49:25",57.48,"2017-02-03 11:40:05",13.25,"2017-02-03 06:46:20",12.55,"2017-02-03 05:25:20",69.57,40.6
"2017-02-05 00:00:00",22,31.35,"2017-02-04 14:46:50",21.14,"2017-02-04 00:04:30",100,"2017-02-04 20:14:40",49.67,"2017-02-04 08:03:10",13.2,"2017-02-04 06:48:20",12.56,"2017-02-04 03:38:10",72.49,44.76
"2017-02-06 00:00:00",23,30.12,"2017-02-05 11:27:35",20.47,"2017-02-05 03:38:55",100,"2017-02-05 00:00:05",54.87,"2017-02-05 19:21:05",13.25,"2017-02-05 06:50:05",12.55,"2017-02-05 05:34:25",72.48,41.06
"2017-02-07 00:00:00",24,31.14,"2017-02-06 13:05:40",21.34,"2017-02-06 01:38:35",100,"2017-02-06 00:11:10",59.36,"2017-02-06 11:49:10",13.22,"2017-02-06 06:46:40",12.55,"2017-02-06 05:51:30",72.83,42.26
"2017-02-08 00:00:00",25,32.32,"2017-02-07 12:17:05",21.11,"2017-02-07 01:43:20",100,"2017-02-07 19:35:05",55.67,"2017-02-07 12:17:30",13.23,"2017-02-07 06:43:35",12.55,"2017-02-07 05:40:25",74.03,44.1
"2017-02-09 00:00:00",26,30.99,"2017-02-08 11:33:30",22.23,"2017-02-08 03:50:00",100,"2017-02-08 00:16:10",55.65,"2017-02-08 02:34:30",13.22,"2017-02-08 06:45:00",12.55,"2017-02-08 04:49:45",69.99,40.35
"2017-02-10 00:00:00",27,32.37,"2017-02-09 12:00:20",21.95,"2017-02-09 23:38:20",100,"2017-02-09 20:08:10",58.69,"2017-02-09 11:55:50",13.22,"2017-02-09 06:44:50",12.55,"2017-02-09 05:00:35",68.57,41.78
"2017-02-11 00:00:00",28,32.04,"2017-02-10 12:52:05",21.79,"2017-02-10 01:25:10",100,"2017-02-10 00:00:05",36.73,"2017-02-10 12:23:10",13.19,"2017-02-10 06:44:20",12.56,"2017-02-10 05:54:50",66.25,37.82
"2017-02-12 00:00:00",29,31.98,"2017-02-11 12:49:05",23.01,"2017-02-11 23:47:10",70.27,"2017-02-11 17:06:35",24.9,"2017-02-11 11:35:15",13.19,"2017-02-11 06:41:40",12.57,"2017-02-11 05:55:50",69.63,41.1
"2017-02-13 00:00:00",30,32.12,"2017-02-12 14:51:00",21.87,"2017-02-12 05:41:25",84.6,"2017-02-12 19:14:55",30.77,"2017-02-12 01:04:00",13.22,"2017-02-12 06:40:00",12.55,"2017-02-12 05:03:20",72.1,44.36
"2017-02-14 00:00:00",31,30.6,"2017-02-13 11:00:40",21.85,"2017-02-13 22:25:40",81.9,"2017-02-13 21:49:45",47.18,"2017-02-13 09:02:50",13.22,"2017-02-13 06:37:40",12.55,"2017-02-13 04:24:25",67.54,40.49
"2017-02-15 00:00:00",32,31.76,"2017-02-14 12:20:20",21.58,"2017-02-14 23:26:45",86.2,"2017-02-14 20:09:05",48.33,"2017-02-14 12:20:40",13.24,"2017-02-14 06:36:20",12.55,"2017-02-14 05:34:35",68.55,43.36
"2017-02-16 00:00:00",33,30.1,"2017-02-15 12:07:25",20.86,"2017-02-15 03:15:55",97.3,"2017-02-15 05:59:45",55.81,"2017-02-15 11:45:00",13.25,"2017-02-15 06:35:10",12.55,"2017-02-15 04:32:00",65.89,39.41
"2017-02-17 00:00:00",34,31.05,"2017-02-16 12:16:10",21.39,"2017-02-16 03:56:45",100,"2017-02-16 20:09:20",51.48,"2017-02-16 11:50:40",13.25,"2017-02-16 06:39:00",12.55,"2017-02-16 05:22:00",70.78,40.98
"2017-02-18 00:00:00",35,29.02,"2017-02-17 12:52:05",21.14,"2017-02-17 03:23:05",99.5,"2017-02-17 16:03:35",65.64,"2017-02-17 12:53:00",13.24,"2017-02-17 06:32:55",12.54,"2017-02-17 05:53:05",69.84,38.43
"2017-02-19 00:00:00",36,30.22,"2017-02-18 12:57:40",20.64,"2017-02-18 04:41:10",99.9,"2017-02-18 04:23:30",59.28,"2017-02-18 12:04:15",13.25,"2017-02-18 06:45:00",12.55,"2017-02-18 05:09:40",69.25,41.83
"2017-02-20 00:00:00",37,32.03,"2017-02-19 13:53:45",21.55,"2017-02-19 03:26:20",91.5,"2017-02-19 23:30:05",45.11,"2017-02-19 15:07:50",13.24,"2017-02-19 06:36:00",12.55,"2017-02-19 05:37:30",69.29,43.83
"2017-02-21 00:00:00",38,31.92,"2017-02-20 14:16:10",21.76,"2017-02-20 23:55:05",95.5,"2017-02-20 22:28:05",50.74,"2017-02-20 14:16:35",13.23,"2017-02-20 06:33:20",12.55,"2017-02-20 05:14:15",68.04,43.46
"2017-02-22 00:00:00",39,31.52,"2017-02-21 14:03:20",21.41,"2017-02-21 03:33:05",98,"2017-02-21 21:45:25",52.83,"2017-02-21 14:03:35",13.24,"2017-02-21 06:33:00",12.54,"2017-02-21 05:32:30",67.94,41.92
"2017-02-23 00:00:00",40,30.51,"2017-02-22 11:32:15",20.92,"2017-02-22 03:53:25",97.2,"2017-02-22 03:49:20",55.18,"2017-02-22 11:22:50",13.25,"2017-02-22 06:30:05",12.55,"2017-02-22 05:01:20",64.57,41.21
"2017-02-24 00:00:00",41,30.79,"2017-02-23 11:27:05",21.04,"2017-02-23 04:22:20",99.1,"2017-02-23 03:52:35",54.86,"2017-02-23 11:30:20",13.24,"2017-02-23 06:30:10",12.54,"2017-02-23 05:32:20",67.4,40.49
"2017-02-25 00:00:00",42,31.16,"2017-02-24 11:54:25",21.15,"2017-02-24 00:35:45",94.7,"2017-02-24 01:38:40",54.58,"2017-02-24 15:09:35",13.24,"2017-02-24 06:31:20",12.54,"2017-02-24 05:36:35",68.01,41.55
"2017-02-26 00:00:00",43,32.01,"2017-02-25 13:31:35",21.21,"2017-02-25 05:44:45",82,"2017-02-25 23:10:35",49.42,"2017-02-25 15:56:30",13.24,"2017-02-25 06:40:40",12.54,"2017-02-25 05:45:50",68.75,44.24
"2017-02-27 00:00:00",44,31.32,"2017-02-26 11:47:45",21.89,"2017-02-26 23:41:05",95.9,"2017-02-26 23:07:15",53.07,"2017-02-26 11:48:05",13.22,"2017-02-26 06:25:50",12.55,"2017-02-26 04:15:55",65.27,40.51
"2017-02-28 00:00:00",45,31.4,"2017-02-27 12:37:30",21,"2017-02-27 02:22:20",100,"2017-02-27 14:06:30",37.59,"2017-02-27 07:21:50",13.22,"2017-02-27 06:26:20",12.55,"2017-02-27 05:38:15",71.58,41.51
"2017-03-01 00:00:00",46,30.98,"2017-02-28 14:10:20",21.06,"2017-02-28 01:47:05",100,"2017-02-28 20:53:30",35.05,"2017-02-28 08:35:35",13.21,"2017-02-28 06:27:20",12.55,"2017-02-28 05:41:50",61.72,39.99
"2017-03-02 00:00:00",47,30.84,"2017-03-01 11:31:10",21.37,"2017-03-01 00:08:10",100,"2017-03-01 00:00:05",55.92,"2017-03-01 19:41:15",13.24,"2017-03-01 06:27:10",12.54,"2017-03-01 05:27:05",62.6,40.1
"2017-03-03 00:00:00",48,31.14,"2017-03-02 11:52:30",22.31,"2017-03-02 04:07:40",94.3,"2017-03-02 18:09:40",44.17,"2017-03-02 08:34:05",13.21,"2017-03-02 06:27:40",12.55,"2017-03-02 04:55:25",62.3,41.22
"2017-03-04 00:00:00",49,33.02,"2017-03-03 13:32:40",22.9,"2017-03-03 20:30:30",86.2,"2017-03-03 19:43:45",36.13,"2017-03-03 12:44:55",13.19,"2017-03-03 06:30:00",12.56,"2017-03-03 05:00:05",60.68,39.77
"2017-03-05 00:00:00",50,29.99,"2017-03-04 12:23:40",21.41,"2017-03-04 04:36:20",96.1,"2017-03-04 06:11:35",38.74,"2017-03-04 14:01:50",13.21,"2017-03-04 06:42:20",12.56,"2017-03-04 05:35:30",57.29,33.99
"2017-03-06 00:00:00",51,32.39,"2017-03-05 13:20:10",22.86,"2017-03-05 18:46:35",86.1,"2017-03-05 18:47:05",30.36,"2017-03-05 11:15:35",13.19,"2017-03-05 06:36:20",12.56,"2017-03-05 05:43:25",62.73,40.68
"2017-03-07 00:00:00",52,32.01,"2017-03-06 10:36:00",21.79,"2017-03-06 03:20:40",92.4,"2017-03-06 03:21:25",46.55,"2017-03-06 15:29:30",13.22,"2017-03-06 06:27:00",12.55,"2017-03-06 04:39:55",59.99,41.47
"2017-03-08 00:00:00",53,32.48,"2017-03-07 14:19:40",21.77,"2017-03-07 01:52:05",100,"2017-03-07 20:35:40",50.54,"2017-03-07 10:01:05",13.22,"2017-03-07 06:22:40",12.55,"2017-03-07 04:35:15",61.37,41.17
"2017-03-09 00:00:00",54,32.66,"2017-03-08 12:37:20",21.7,"2017-03-08 02:15:30",98.6,"2017-03-08 23:37:30",48.44,"2017-03-08 20:37:40",13.21,"2017-03-08 06:26:00",12.55,"2017-03-08 04:14:30",62.85,42.33
"2017-03-10 00:00:00",55,31.79,"2017-03-09 12:13:50",21.4,"2017-03-09 05:32:00",95.7,"2017-03-09 00:00:15",50.53,"2017-03-09 03:42:45",13.22,"2017-03-09 06:25:20",12.55,"2017-03-09 05:44:15",61.17,42.52
"2017-03-11 00:00:00",56,33.47,"2017-03-10 14:25:10",22.28,"2017-03-10 23:55:00",97.4,"2017-03-10 23:38:45",46.09,"2017-03-10 14:28:40",13.02,"2017-03-10 11:43:55",12.76,"2017-03-10 23:57:50",57.38,44.17
"2017-03-12 00:00:00",57,31.69,"2017-03-11 11:59:25",21.19,"2017-03-11 02:42:20",96.8,"2017-03-11 00:09:35",54.04,"2017-03-11 10:28:05",13.21,"2017-03-11 06:44:20",12.74,"2017-03-11 05:03:50",57.44,40.34
"2017-03-13 00:00:00",58,32.84,"2017-03-12 11:29:00",21.38,"2017-03-12 03:37:20",96.7,"2017-03-12 23:25:15",47.5,"2017-03-12 11:30:20",13.21,"2017-03-12 06:40:00",12.76,"2017-03-12 05:49:05",56.29,41.14
"2017-03-14 00:00:00",59,31.8,"2017-03-13 12:21:30",21.81,"2017-03-13 00:33:15",96.9,"2017-03-13 00:35:25",51.04,"2017-03-13 10:58:00",13.22,"2017-03-13 06:37:55",12.76,"2017-03-13 05:40:45",57.71,41.26
"2017-03-15 00:00:00",60,32.6,"2017-03-14 12:25:55",21.69,"2017-03-14 03:06:25",98.5,"2017-03-14 22:42:55",55.23,"2017-03-14 10:16:55",13.22,"2017-03-14 06:41:40",12.77,"2017-03-14 03:58:45",55.53,40.3
"2017-03-16 00:00:00",61,31.26,"2017-03-15 11:29:35",21.49,"2017-03-15 00:54:50",100,"2017-03-15 00:59:25",48.86,"2017-03-15 23:49:20",13.21,"2017-03-15 06:30:20",12.77,"2017-03-15 04:19:25",62.92,40.06
"2017-03-17 00:00:00",62,31.12,"2017-03-16 10:26:50",21.24,"2017-03-16 20:38:55",100,"2017-03-16 19:48:20",39.41,"2017-03-16 08:50:00",13.21,"2017-03-16 06:35:40",12.79,"2017-03-16 05:21:30",56.24,38.46
"2017-03-18 00:00:00",63,31.9,"2017-03-17 11:31:30",21.96,"2017-03-17 00:09:25",92.7,"2017-03-17 23:40:15",40.5,"2017-03-17 09:28:30",13.21,"2017-03-17 06:28:40",12.79,"2017-03-17 05:03:15",56.37,39.73
"2017-03-19 00:00:00",64,32.51,"2017-03-18 11:18:45",21.37,"2017-03-18 01:36:35",94.6,"2017-03-18 01:36:05",41.8,"2017-03-18 11:39:40",13.22,"2017-03-18 06:31:20",12.77,"2017-03-18 05:40:30",58.05,40
"2017-03-20 00:00:00",65,31.72,"2017-03-19 11:55:05",22.01,"2017-03-19 23:46:10",95.4,"2017-03-19 23:47:35",37.82,"2017-03-19 08:20:10",13.19,"2017-03-19 06:32:00",12.79,"2017-03-19 02:43:10",57.31,40.66
"2017-03-21 00:00:00",66,31.99,"2017-03-20 10:57:40",21.9,"2017-03-20 00:09:40",95.1,"2017-03-20 00:10:00",41.16,"2017-03-20 07:57:45",13.21,"2017-03-20 06:30:30",12.77,"2017-03-20 04:27:05",55.08,40.23
"2017-03-22 00:00:00",67,31.89,"2017-03-21 11:41:15",22.1,"2017-03-21 01:00:30",99.9,"2017-03-21 15:24:50",51.58,"2017-03-21 11:26:55",13.22,"2017-03-21 06:39:00",12.77,"2017-03-21 04:36:55",61.1,40.37
"2017-03-23 00:00:00",68,30.59,"2017-03-22 11:58:15",21.87,"2017-03-22 01:12:50",100,"2017-03-22 22:58:10",63.64,"2017-03-22 11:59:20",13.22,"2017-03-22 06:22:20",12.78,"2017-03-22 05:39:55",56.5,38.93
"2017-03-24 00:00:00",69,31.21,"2017-03-23 12:52:50",20.46,"2017-03-23 02:36:30",100,"2017-03-23 00:02:25",52.43,"2017-03-23 10:10:55",13.23,"2017-03-23 06:39:20",12.77,"2017-03-23 05:10:25",57.11,39.18
"2017-03-25 00:00:00",70,31.6,"2017-03-24 10:21:55",21.91,"2017-03-24 17:43:25",100,"2017-03-24 16:44:35",46.1,"2017-03-24 09:15:00",13.2,"2017-03-24 06:37:40",12.79,"2017-03-24 04:28:55",55.63,37.35
"2017-03-26 00:00:00",71,33.16,"2017-03-25 14:14:45",21.66,"2017-03-25 03:49:15",93.7,"2017-03-25 00:13:10",47.47,"2017-03-25 12:07:15",13.22,"2017-03-25 06:37:20",12.79,"2017-03-25 05:19:50",61.49,43.95
"2017-03-27 00:00:00",72,31.11,"2017-03-26 09:51:25",22.32,"2017-03-26 02:27:15",92.6,"2017-03-26 00:00:10",55.72,"2017-03-26 09:27:50",13.21,"2017-03-26 06:34:00",12.77,"2017-03-26 05:41:55",55.83,38.83
"2017-03-28 00:00:00",73,31.18,"2017-03-27 13:51:05",21.91,"2017-03-27 02:39:00",96.7,"2017-03-27 20:27:30",55.06,"2017-03-27 09:18:05",13.22,"2017-03-27 06:30:35",12.77,"2017-03-27 05:20:25",58.6,40.18
"2017-03-29 00:00:00",74,32.84,"2017-03-28 11:48:35",22.13,"2017-03-28 03:07:10",92.6,"2017-03-28 00:04:50",48.76,"2017-03-28 10:39:40",13.22,"2017-03-28 06:16:20",12.77,"2017-03-28 04:53:25",59.33,42.92
"2017-03-30 00:00:00",75,33.38,"2017-03-29 11:25:40",22.13,"2017-03-29 04:29:45",96.2,"2017-03-29 21:45:55",41.51,"2017-03-29 11:29:05",13.21,"2017-03-29 06:30:40",12.76,"2017-03-29 04:50:45",58.25,44.13
"2017-03-31 00:00:00",76,33.7,"2017-03-30 12:46:15",21.82,"2017-03-30 04:58:30",97.1,"2017-03-30 23:46:20",45.59,"2017-03-30 11:41:55",13.22,"2017-03-30 06:27:35",12.76,"2017-03-30 05:39:10",60.76,44.22
"2017-04-01 00:00:00",77,32.2,"2017-03-31 11:16:05",21.56,"2017-03-31 04:16:30",97.7,"2017-03-31 01:53:15",50,"2017-03-31 11:16:35",13.23,"2017-03-31 06:26:20",12.75,"2017-03-31 04:19:45",59.34,41.13
"2017-04-02 00:00:00",78,32.58,"2017-04-01 11:36:20",21.38,"2017-04-01 17:46:05",100,"2017-04-01 16:19:50",51.97,"2017-04-01 11:28:35",13.22,"2017-04-01 06:25:20",12.75,"2017-04-01 05:28:10",62.06,41.78
